8=FIX4.4; 35=8; 34=53; 49=MS; 56=M3; 52=2024-08-05-11:02:06; 55=AAPL; 40=2; 11=algo20240805110206; 31=1276.37; 150=1; 39=1; 54=1; 44=1276.37; 32=6195; 17=exec20240805110206; 38=30977; 60=2024-08-05-11:02:06; 6=1276.37; 14=6195; 37=algo20240805110206; 10=240;
8=FIX4.4; 35=8; 34=54; 49=MS; 56=M3; 52=2024-08-05-11:02:08; 55=AAPL; 40=2; 11=algo20240805110206; 31=1276.37; 150=1; 39=1; 54=1; 44=1276.37; 32=6195; 17=exec20240805110208; 38=30977; 60=2024-08-05-11:02:08; 6=1276.37; 14=12390; 37=algo20240805110206; 10=240;
8=FIX4.4; 35=8; 34=55; 49=MS; 56=M3; 52=2024-08-05-11:02:09; 55=AAPL; 40=2; 11=algo20240805110206; 31=1276.37; 150=1; 39=1; 54=1; 44=1276.37; 32=6195; 17=exec20240805110209; 38=30977; 60=2024-08-05-11:02:09; 6=1276.37; 14=18585; 37=algo20240805110206; 10=240;
8=FIX4.4; 35=8; 34=56; 49=MS; 56=M3; 52=2024-08-05-11:02:10; 55=AAPL; 40=2; 11=algo20240805110206; 31=1276.37; 150=1; 39=1; 54=1; 44=1276.37; 32=6195; 17=exec20240805110210; 38=30977; 60=2024-08-05-11:02:10; 6=1276.37; 14=24780; 37=algo20240805110206; 10=240;
8=FIX4.4; 35=8; 34=57; 49=MS; 56=M3; 52=2024-08-05-11:02:12; 55=AAPL; 40=2; 11=algo20240805110206; 31=1276.37; 150=2; 39=2; 54=1; 44=1276.37; 32=6197; 17=exec20240805110212; 38=30977; 60=2024-08-05-11:02:12; 6=1276.37; 14=30977; 37=algo20240805110206; 10=246;
8=FIX4.4; 35=8; 34=59; 49=MS; 56=M3; 52=2024-08-05-11:02:12; 55=MSFT; 40=2; 11=algo20240805110212; 31=59.89; 150=1; 39=1; 54=2; 44=59.89; 32=2424; 17=exec20240805110212; 38=7274; 60=2024-08-05-11:02:12; 6=59.89; 14=2424; 37=algo20240805110212; 10=240;
8=FIX4.4; 35=8; 34=63; 49=MS; 56=M3; 52=2024-08-05-11:02:15; 55=AMZN; 40=2; 11=algo20240805110215; 31=133.47; 150=1; 39=1; 54=1; 44=133.47; 32=1325; 17=exec20240805110215; 38=5301; 60=2024-08-05-11:02:15; 6=133.47; 14=1325; 37=algo20240805110215; 10=240;
8=FIX4.4; 35=8; 34=70; 49=MS; 56=M3; 52=2024-08-05-11:02:21; 55=GOOG; 40=2; 11=algo20240805110220; 31=42.05; 150=2; 39=2; 54=2; 44=42.05; 32=26698; 17=exec20240805110221; 38=26698; 60=2024-08-05-11:02:21; 6=42.05; 14=26698; 37=algo20240805110220; 10=246;
8=FIX4.4; 35=8; 34=72; 49=MS; 56=M3; 52=2024-08-05-11:02:22; 55=GOOGL; 40=2; 11=algo20240805110221; 31=289.20; 150=2; 39=2; 54=2; 44=289.20; 32=16528; 17=exec20240805110222; 38=16528; 60=2024-08-05-11:02:22; 6=289.20; 14=16528; 37=algo20240805110221; 10=246;
8=FIX4.4; 35=8; 34=74; 49=MS; 56=M3; 52=2024-08-05-11:02:22; 55=INTC; 40=2; 11=algo20240805110222; 31=339.13; 150=1; 39=1; 54=2; 44=339.13; 32=7567; 17=exec20240805110222; 38=22702; 60=2024-08-05-11:02:22; 6=339.13; 14=7567; 37=algo20240805110222; 10=240;
8=FIX4.4; 35=8; 34=75; 49=MS; 56=M3; 52=2024-08-05-11:02:23; 55=INTC; 40=2; 11=algo20240805110222; 31=339.13; 150=1; 39=1; 54=2; 44=339.13; 32=7567; 17=exec20240805110223; 38=22702; 60=2024-08-05-11:02:23; 6=339.13; 14=15134; 37=algo20240805110222; 10=240;
