Symbol,OrderID,Side,Price,Qty,ExecID
AAPL,algo20240805110206,1,1276.37,6195,exec20240805110206,
AAPL,algo20240805110206,1,1276.37,6195,exec20240805110208,
AAPL,algo20240805110206,1,1276.37,6195,exec20240805110209,
AAPL,algo20240805110206,1,1276.37,6195,exec20240805110210,
MSFT,algo20240805110212,2,59.89,2424,exec20240805110212,
AMZN,algo20240805110215,1,133.47,1325,exec20240805110215,
INTC,algo20240805110222,2,339.13,7567,exec20240805110222,
INTC,algo20240805110222,2,339.13,7567,exec20240805110223,
NFLX,algo20240805110226,1,306.71,7419,exec20240805110226,
QCOM,algo20240805110245,2,75.47,13975,exec20240805110245,
TMUS,algo20240805110247,2,90.74,972,exec20240805110247,
TMUS,algo20240805110247,2,90.74,972,exec20240805110248,
TMUS,algo20240805110247,2,90.74,972,exec20240805110249,
TMUS,algo20240805110247,2,90.74,972,exec20240805110250,
MDLZ,algo20240805110252,2,52.26,946,exec20240805110252,
BAC,algo20240805110254,2,22.03,7280,exec20240805110254,
DDD,algo20240805110257,1,8.01,482,exec20240805110257,
WBAI,algo20240805110300,2,4.10,3997,exec20240805110300,
WUBA,algo20240805110303,2,51.41,1386,exec20240805110303,
AAN,algo20240805110313,2,25.68,879,exec20240805110313,
AAN,algo20240805110313,2,25.68,879,exec20240805110314,
AAN,algo20240805110313,2,25.68,879,exec20240805110315,
ABM,algo20240805110324,2,31.64,9361,exec20240805110324,
PEP,algo20240805110328,1,45.43,6538,exec20240805110328,
PEP,algo20240805110328,1,45.43,6538,exec20240805110329,
