8=FIX4.4; 35=8; 34=60; 49=MS; 56=MTHREE; 52=2024-08-05-11:02:13; 151=2426; 55=AMSFT; 11=C_algo20240805110212; 31=0; 150=4; 39=4; 54=2; 17=exec20240805110213; 32=0; 41=algo20240805110212; 38=7274; 60=2024-08-05-11:02:13; 6=0.0; 14=2424; 37=algo20240805110212; 10=252;
8=FIX4.4; 35=8; 34=64; 49=MS; 56=MTHREE; 52=2024-08-05-11:02:16; 151=2651; 55=AMZN; 11=C_algo20240805110215; 31=0; 150=4; 39=4; 54=1; 17=exec20240805110216; 32=0; 41=algo20240805110215; 38=5301; 60=2024-08-05-11:02:16; 6=0.0; 14=1325; 37=algo20240805110215; 10=252;
8=FIX4.4; 35=8; 34=67; 49=MS; 56=MTHREE; 52=2024-08-05-11:02:18; 151=10776; 55=FB; 11=C_algo20240805110218; 31=0; 150=4; 39=4; 54=2; 17=exec20240805110218; 32=0; 41=algo20240805110218; 38=14367; 60=2024-08-05-11:02:18; 6=0.0; 14=0; 37=algo20240805110218; 10=252;
8=FIX4.4; 35=8; 34=81; 49=MS; 56=MTHREE; 52=2024-08-05-11:02:27; 151=14838; 55=NFLX; 11=C_algo20240805110226; 31=0; 150=4; 39=4; 54=1; 17=exec20240805110227; 32=0; 41=algo20240805110226; 38=29676; 60=2024-08-05-11:02:27; 6=0.0; 14=7419; 37=algo20240805110226; 10=252;
8=FIX4.4; 35=8; 34=84; 49=MS; 56=MTHREE; 52=2024-08-05-11:02:29; 151=5833; 55=CSCO; 11=C_algo20240805110229; 31=0; 150=4; 39=4; 54=1; 17=exec20240805110229; 32=0; 41=algo20240805110229; 38=8749; 60=2024-08-05-11:02:29; 6=0.0; 14=0; 37=algo20240805110229; 10=252;
8=FIX4.4; 35=8; 34=87; 49=MS; 56=MTHREE; 52=2024-08-05-11:02:31; 151=18069; 55=AMGN; 11=C_algo20240805110231; 31=0; 150=4; 39=4; 54=1; 17=exec20240805110231; 32=0; 41=algo20240805110231; 38=27103; 60=2024-08-05-11:02:31; 6=0.0; 14=0; 37=algo20240805110231; 10=252;
8=FIX4.4; 35=8; 34=90; 49=MS; 56=MTHREE; 52=2024-08-05-11:02:33; 151=23315; 55=PYPL; 11=C_algo20240805110233; 31=0; 150=4; 39=4; 54=1; 17=exec20240805110233; 32=0; 41=algo20240805110233; 38=29143; 60=2024-08-05-11:02:33; 6=0.0; 14=0; 37=algo20240805110233; 10=252;
8=FIX4.4; 35=8; 34=93; 49=MS; 56=MTHREE; 52=2024-08-05-11:02:35; 151=2799; 55=TSLA; 11=C_algo20240805110235; 31=0; 150=4; 39=4; 54=1; 17=exec20240805110235; 32=0; 41=algo20240805110235; 38=5598; 60=2024-08-05-11:02:35; 6=0.0; 14=0; 37=algo20240805110235; 10=252;
8=FIX4.4; 35=8; 34=96; 49=MS; 56=MTHREE; 52=2024-08-05-11:02:37; 151=8422; 55=TXN; 11=C_algo20240805110237; 31=0; 150=4; 39=4; 54=2; 17=exec20240805110237; 32=0; 41=algo20240805110237; 38=16843; 60=2024-08-05-11:02:37; 6=0.0; 14=0; 37=algo20240805110237; 10=252;
8=FIX4.4; 35=8; 34=99; 49=MS; 56=MTHREE; 52=2024-08-05-11:02:39; 151=19064; 55=AVGO; 11=C_algo20240805110239; 31=0; 150=4; 39=4; 54=1; 17=exec20240805110239; 32=0; 41=algo20240805110239; 38=28596; 60=2024-08-05-11:02:39; 6=0.0; 14=0; 37=algo20240805110239; 10=252;
8=FIX4.4; 35=8; 34=102; 49=MS; 56=MTHREE; 52=2024-08-05-11:02:41; 151=21538; 55=GILD; 11=C_algo20240805110241; 31=0; 150=4; 39=4; 54=2; 17=exec20240805110241; 32=0; 41=algo20240805110241; 38=26922; 60=2024-08-05-11:02:41; 6=0.0; 14=0; 37=algo20240805110241; 10=252;
