8=FIX4.4; 35=8; 34=52; 49=MS; 56=MTHREE; 52=2024-08-05-11:02:06; 55=AAPL; 40=2; 11=algo20240805110206; 31=1276.37; 150=0; 39=0; 54=1; 44=1276.37; 32=0; 17=exec20240805110206; 38=30977; 60=2024-08-05-11:02:06; 6=0; 14=0; 37=algo20240805110206; 10=200;
8=FIX4.4; 35=8; 34=53; 49=MS; 56=MTHREE; 52=2024-08-05-11:02:06; 55=AAPL; 40=2; 11=algo20240805110206; 31=1276.37; 150=1; 39=1; 54=1; 44=1276.37; 32=6195; 17=exec20240805110206; 38=30977; 60=2024-08-05-11:02:06; 6=1276.37; 14=6195; 37=algo20240805110206; 10=240;
8=FIX4.4; 35=8; 34=54; 49=MS; 56=MTHREE; 52=2024-08-05-11:02:08; 55=AAPL; 40=2; 11=algo20240805110206; 31=1276.37; 150=1; 39=1; 54=1; 44=1276.37; 32=6195; 17=exec20240805110208; 38=30977; 60=2024-08-05-11:02:08; 6=1276.37; 14=12390; 37=algo20240805110206; 10=240;
8=FIX4.4; 35=8; 34=55; 49=MS; 56=MTHREE; 52=2024-08-05-11:02:09; 55=AAPL; 40=2; 11=algo20240805110206; 31=1276.37; 150=1; 39=1; 54=1; 44=1276.37; 32=6195; 17=exec20240805110209; 38=30977; 60=2024-08-05-11:02:09; 6=1276.37; 14=18585; 37=algo20240805110206; 10=240;
8=FIX4.4; 35=8; 34=56; 49=MS; 56=MTHREE; 52=2024-08-05-11:02:10; 55=AAPL; 40=2; 11=algo20240805110206; 31=1276.37; 150=1; 39=1; 54=1; 44=1276.37; 32=6195; 17=exec20240805110210; 38=30977; 60=2024-08-05-11:02:10; 6=1276.37; 14=24780; 37=algo20240805110206; 10=240;
8=FIX4.4; 35=8; 34=57; 49=MS; 56=MTHREE; 52=2024-08-05-11:02:12; 55=AAPL; 40=2; 11=algo20240805110206; 31=1276.37; 150=2; 39=2; 54=1; 44=1276.37; 32=6197; 17=exec20240805110212; 38=30977; 60=2024-08-05-11:02:12; 6=1276.37; 14=30977; 37=algo20240805110206; 10=246;
8=FIX4.4; 35=8; 34=58; 49=MS; 56=MTHREE; 52=2024-08-05-11:02:12; 55=MSFT; 40=2; 11=algo20240805110212; 31=59.89; 150=0; 39=0; 54=2; 44=59.89; 32=0; 17=exec20240805110212; 38=7274; 60=2024-08-05-11:02:12; 6=0; 14=0; 37=algo20240805110212; 10=200;
8=FIX4.4; 35=8; 34=59; 49=MS; 56=MTHREE; 52=2024-08-05-11:02:12; 55=MSFT; 40=2; 11=algo20240805110212; 31=59.89; 150=1; 39=1; 54=2; 44=59.89; 32=2424; 17=exec20240805110212; 38=7274; 60=2024-08-05-11:02:12; 6=59.89; 14=2424; 37=algo20240805110212; 10=240;
8=FIX4.4; 35=8; 34=59; 49=MS; 56=MTHREE; 52=2024-08-05-11:02:13; 55=MSFT; 11=C_algo20240805110212; 31=0; 150=6; 39=6; 54=2; 44=59.89; 17=exec20240805110213; 32=0; 41=algo20240805110212; 38=7274; 60=2024-08-05-11:02:13; 6=0.0; 14=2424; 37=algo20240805110212; 10=252;
8=FIX4.4; 35=8; 34=60; 49=MS; 56=MTHREE; 52=2024-08-05-11:02:13; 151=2426; 55=MSFT; 11=C_algo20240805110212; 31=0; 150=4; 39=4; 54=2; 17=exec20240805110213; 32=0; 41=algo20240805110212; 38=7274; 60=2024-08-05-11:02:13; 6=0.0; 14=2424; 37=algo20240805110212; 10=252;
8=FIX4.4; 35=8; 34=62; 49=MS; 56=MTHREE; 52=2024-08-05-11:02:15; 55=AMZN; 40=2; 11=algo20240805110215; 31=133.47; 150=0; 39=0; 54=1; 44=133.47; 32=0; 17=exec20240805110215; 38=5301; 60=2024-08-05-11:02:15; 6=0; 14=0; 37=algo20240805110215; 10=200;
