8=FIX4.4; 35=8; 34=53; 49=MS; 56=MTHREE; 52=2024-08-05-11:02:06; 55=AAPL; 40=2; 11=algo20240805110206; 31=1276.37; 150=1; 39=1; 54=1; 44=1276.37; 32=6195; 17=exec20240805110206; 38=30977; 60=2024-08-05-11:02:06; 6=1276.37; 14=6195; 37=algo20240805110206; 10=240;
8=FIX4.4; 35=8; 34=54; 49=MS; 56=MTHREE; 52=2024-08-05-11:02:08; 55=AAPL; 40=2; 11=algo20240805110206; 31=1276.37; 150=1; 39=1; 54=1; 44=1276.37; 32=6195; 17=exec20240805110208; 38=30977; 60=2024-08-05-11:02:08; 6=1276.37; 14=12390; 37=algo20240805110206; 10=240;
8=FIX4.4; 35=8; 34=55; 49=MS; 56=MTHREE; 52=2024-08-05-11:02:09; 55=AAPL; 40=2; 11=algo20240805110206; 31=1276.37; 150=1; 39=1; 54=1; 44=1276.37; 32=6195; 17=exec20240805110209; 38=30977; 60=2024-08-05-11:02:09; 6=1276.37; 14=18585; 37=algo20240805110206; 10=240;
8=FIX4.4; 35=8; 34=56; 49=MS; 56=MTHREE; 52=2024-08-05-11:02:10; 55=AAPL; 40=2; 11=algo20240805110206; 31=1276.37; 150=1; 39=1; 54=1; 44=1276.37; 32=6195; 17=exec20240805110210; 38=30977; 60=2024-08-05-11:02:10; 6=1276.37; 14=24780; 37=algo20240805110206; 10=240;
8=FIX4.4; 35=8; 34=59; 49=MS; 56=MTHREE; 52=2024-08-05-11:02:12; 55=MSFT; 40=2; 11=algo20240805110212; 31=59.89; 150=1; 39=1; 54=2; 44=59.89; 32=2424; 17=exec20240805110212; 38=7274; 60=2024-08-05-11:02:12; 6=59.89; 14=2424; 37=algo20240805110212; 10=240;
8=FIX4.4; 35=8; 34=63; 49=MS; 56=MTHREE; 52=2024-08-05-11:02:15; 55=AMZN; 40=2; 11=algo20240805110215; 31=133.47; 150=1; 39=1; 54=1; 44=133.47; 32=1325; 17=exec20240805110215; 38=5301; 60=2024-08-05-11:02:15; 6=133.47; 14=1325; 37=algo20240805110215; 10=240;
8=FIX4.4; 35=8; 34=74; 49=MS; 56=MTHREE; 52=2024-08-05-11:02:22; 55=INTC; 40=2; 11=algo20240805110222; 31=339.13; 150=1; 39=1; 54=2; 44=339.13; 32=7567; 17=exec20240805110222; 38=22702; 60=2024-08-05-11:02:22; 6=339.13; 14=7567; 37=algo20240805110222; 10=240;
8=FIX4.4; 35=8; 34=75; 49=MS; 56=MTHREE; 52=2024-08-05-11:02:23; 55=INTC; 40=2; 11=algo20240805110222; 31=339.13; 150=1; 39=1; 54=2; 44=339.13; 32=7567; 17=exec20240805110223; 38=22702; 60=2024-08-05-11:02:23; 6=339.13; 14=15134; 37=algo20240805110222; 10=240;
8=FIX4.4; 35=8; 34=80; 49=MS; 56=MTHREE; 52=2024-08-05-11:02:26; 55=NFLX; 40=2; 11=algo20240805110226; 31=306.71; 150=1; 39=1; 54=1; 44=306.71; 32=7419; 17=exec20240805110226; 38=29676; 60=2024-08-05-11:02:26; 6=306.71; 14=7419; 37=algo20240805110226; 10=240;
8=FIX4.4; 35=8; 34=108; 49=MS; 56=MTHREE; 52=2024-08-05-11:02:45; 55=QCOM; 40=2; 11=algo20240805110245; 31=75.47; 150=1; 39=1; 54=2; 44=75.47; 32=13975; 17=exec20240805110245; 38=27950; 60=2024-08-05-11:02:45; 6=75.47; 14=13975; 37=algo20240805110245; 10=240;
8=FIX4.4; 35=8; 34=111; 49=MS; 56=MTHREE; 52=2024-08-05-11:02:47; 55=TMUS; 40=2; 11=algo20240805110247; 31=90.74; 150=1; 39=1; 54=2; 44=90.74; 32=972; 17=exec20240805110247; 38=4864; 60=2024-08-05-11:02:47; 6=90.74; 14=972; 37=algo20240805110247; 10=240;
8=FIX4.4; 35=8; 34=112; 49=MS; 56=MTHREE; 52=2024-08-05-11:02:48; 55=TMUS; 40=2; 11=algo20240805110247; 31=90.74; 150=1; 39=1; 54=2; 44=90.74; 32=972; 17=exec20240805110248; 38=4864; 60=2024-08-05-11:02:48; 6=90.74; 14=1944; 37=algo20240805110247; 10=240;
8=FIX4.4; 35=8; 34=113; 49=MS; 56=MTHREE; 52=2024-08-05-11:02:49; 55=TMUS; 40=2; 11=algo20240805110247; 31=90.74; 150=1; 39=1; 54=2; 44=90.74; 32=972; 17=exec20240805110249; 38=4864; 60=2024-08-05-11:02:49; 6=90.74; 14=2916; 37=algo20240805110247; 10=240;
8=FIX4.4; 35=8; 34=114; 49=MS; 56=MTHREE; 52=2024-08-05-11:02:50; 55=TMUS; 40=2; 11=algo20240805110247; 31=90.74; 150=1; 39=1; 54=2; 44=90.74; 32=972; 17=exec20240805110250; 38=4864; 60=2024-08-05-11:02:50; 6=90.74; 14=3888; 37=algo20240805110247; 10=240;
8=FIX4.4; 35=8; 34=117; 49=MS; 56=MTHREE; 52=2024-08-05-11:02:52; 55=MDLZ; 40=2; 11=algo20240805110252; 31=52.26; 150=1; 39=1; 54=2; 44=52.26; 32=946; 17=exec20240805110252; 38=1893; 60=2024-08-05-11:02:52; 6=52.26; 14=946; 37=algo20240805110252; 10=240;
8=FIX4.4; 35=8; 34=120; 49=MS; 56=MTHREE; 52=2024-08-05-11:02:54; 55=BAC; 40=2; 11=algo20240805110254; 31=22.03; 150=1; 39=1; 54=2; 44=22.03; 32=7280; 17=exec20240805110254; 38=21841; 60=2024-08-05-11:02:54; 6=22.03; 14=7280; 37=algo20240805110254; 10=240;
8=FIX4.4; 35=8; 34=124; 49=MS; 56=MTHREE; 52=2024-08-05-11:02:57; 55=DDD; 40=2; 11=algo20240805110257; 31=8.01; 150=1; 39=1; 54=1; 44=8.01; 32=482; 17=exec20240805110257; 38=965; 60=2024-08-05-11:02:57; 6=8.01; 14=482; 37=algo20240805110257; 10=240;
